session_examen;academie;code_region;libelle_region;tranche_age;serie;inscrits;presents;admis;admis_sans_mention;admis_ab;admis_b;admis_tb;inscrits_filles;presents_filles;admis_filles;admis_sans_mention_filles;admis_ab_filles;admis_b_filles;admis_tb_filles
2013;CAEN;28;Normandie;16 ans;SERIE GENERALE;3034;2964;1657;1184;421;47;5;1402;1380;850;590;234;25;1
2013;CAEN;28;Normandie;17 ans ou plus;SERIE GENERALE;186;162;82;66;15;1;0;90;79;40;27;12;1;0
2013;DIJON;27;Bourgogne-et-Franche-Comté;16 ans;SERIE GENERALE;2893;2746;1770;1354;353;54;9;1390;1331;918;687;197;27;7
2013;GRENOBLE;84;Auvergne-et-Rhône-Alpes;16 ans;SERIE GENERALE;5996;5755;3646;2897;639;96;14;2715;2612;1766;1394;311;54;7
2013;GRENOBLE;84;Auvergne-et-Rhône-Alpes;15 ans ou moins;SERIE GENERALE;29509;29401;27498;8781;8887;6532;3298;15143;15102;14342;4088;4492;3638;2124
2013;NANCY-METZ;44;Grand-Est;16 ans;SERIE GENERALE;3874;3745;2228;1654;451;108;15;1796;1740;1090;812;207;62;9
2013;POITIERS;75;Nouvelle-Aquitaine;15 ans ou moins;SERIE GENERALE;14425;14397;13276;3501;4311;3500;1964;7608;7595;7098;1703;2215;1935;1245
2013;TOULOUSE;76;Occitanie;16 ans;SERIE GENERALE;4430;4267;2770;2066;577;110;17;2002;1935;1330;989;275;55;11
2013;NANTES;52;Pays-de-la-Loire;17 ans ou plus;SERIE GENERALE;555;490;214;150;58;5;1;239;205;84;63;19;1;1
2013;ORLEANS-TOURS;24;Centre-Val-de-Loire;17 ans ou plus;SERIE GENERALE;391;358;159;127;24;6;2;204;191;84;67;14;2;1
2013;REIMS;44;Grand-Est;16 ans;SERIE GENERALE;2606;2473;1429;1116;255;51;7;1219;1151;710;549;131;26;4
2013;REIMS;44;Grand-Est;15 ans ou moins;SERIE GENERALE;11209;11135;9993;3343;2922;2302;1426;5826;5795;5322;1645;1538;1257;882
2013;AMIENS;32;Hauts-de-France;15 ans ou moins;SERIE GENERALE;17279;17183;15292;5349;4293;3442;2208;9011;8976;8203;2678;2253;1907;1365
2013;NICE;93;Provence-Alpes-Côte-d'Azur;16 ans;SERIE GENERALE;4091;3804;2168;1659;401;85;23;1828;1708;1070;799;205;53;13
2013;CRETEIL;11;Île-de-France;15 ans ou moins;SERIE GENERALE;38241;38003;34320;12710;10089;7642;3879;19970;19881;18423;6120;5363;4432;2508
2013;VERSAILLES;11;Île-de-France;15 ans ou moins;SERIE GENERALE;53040;52816;49312;15863;14595;12113;6741;27349;27249;25940;7399;7427;6821;4293
2013;CORSE;94;Corse;16 ans;SERIE GENERALE;491;446;311;234;59;16;2;214;199;153;110;31;11;1
2013;LA REUNION;04;La-Réunion;15 ans ou moins;SERIE GENERALE;9355;9304;8234;2778;2290;1984;1182;5167;5138;4662;1457;1273;1193;739
2013;GUYANE;03;Guyane;16 ans;SERIE GENERALE;1238;1166;772;628;107;30;7;603;570;393;306;56;25;6
2013;PARIS;11;Île-de-France;15 ans ou moins;SERIE PROFESSIONNELLE;166;163;131;75;45;11;0;78;76;62;36;20;6;0
2013;BESANCON;27;Bourgogne-et-Franche-Comté;16 ans;SERIE PROFESSIONNELLE;854;808;568;371;165;31;1;274;260;201;123;70;8;0
2013;BESANCON;27;Bourgogne-et-Franche-Comté;17 ans ou plus;SERIE PROFESSIONNELLE;221;180;106;73;28;5;0;103;88;49;30;16;3;0
2013;BORDEAUX;75;Nouvelle-Aquitaine;15 ans ou moins;SERIE PROFESSIONNELLE;670;657;564;307;211;46;0;242;237;210;103;85;22;0
2013;BORDEAUX;75;Nouvelle-Aquitaine;17 ans ou plus;SERIE PROFESSIONNELLE;1087;815;529;423;88;16;2;495;375;236;197;34;4;1
2013;CAEN;28;Normandie;15 ans ou moins;SERIE PROFESSIONNELLE;463;456;385;226;142;16;1;153;150;135;76;52;7;0
2013;DIJON;27;Bourgogne-et-Franche-Comté;15 ans ou moins;SERIE PROFESSIONNELLE;485;474;412;220;156;34;2;143;139;129;62;56;11;0
